horse,horseLabel,mother,father,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q7596899,Stagehand,,http://www.wikidata.org/entity/Q17361622,1935,,male organism
http://www.wikidata.org/entity/Q7597424,Stamina,http://www.wikidata.org/entity/Q5376668,http://www.wikidata.org/entity/Q6967728,1905,,female organism
http://www.wikidata.org/entity/Q7597520,Stan,,http://www.wikidata.org/entity/Q21997732,1950,,
http://www.wikidata.org/entity/Q76007046,Histrion,,http://www.wikidata.org/entity/Q22338059,,,male organism
http://www.wikidata.org/entity/Q7600767,Star Kingdom,,,1946,1967,male organism
http://www.wikidata.org/entity/Q7600817,Star Over The Bay,,http://www.wikidata.org/entity/Q5180163,1998,,
http://www.wikidata.org/entity/Q7600824,Star Pilot,,http://www.wikidata.org/entity/Q17361622,1943,,male organism
http://www.wikidata.org/entity/Q7600830,Star Pointer,,,,,
http://www.wikidata.org/entity/Q7600831,Star Porter,,,1930,,
http://www.wikidata.org/entity/Q7600891,Star Shoot,http://www.wikidata.org/entity/Q61994249,http://www.wikidata.org/entity/Q11282151,1898,,male organism
http://www.wikidata.org/entity/Q7600914,Star Standard,,http://www.wikidata.org/entity/Q7336008,1992,,male organism
http://www.wikidata.org/entity/Q7601241,Star of Cozzene,,http://www.wikidata.org/entity/Q5180163,1988,,male organism
http://www.wikidata.org/entity/Q7601541,Starcraft,,http://www.wikidata.org/entity/Q11315477,2000,,male organism
http://www.wikidata.org/entity/Q7601561,Stardom Bound,,http://www.wikidata.org/entity/Q16953076,2006,,female organism
http://www.wikidata.org/entity/Q7601918,Starine,,,1997,,female organism
http://www.wikidata.org/entity/Q7602440,Starspangledbanner,,http://www.wikidata.org/entity/Q5104095,2006,,male organism
http://www.wikidata.org/entity/Q7603948,Stately Victor,,http://www.wikidata.org/entity/Q5557464,2007,,male organism
http://www.wikidata.org/entity/Q7604802,Staveley,,,1802,,male organism
http://www.wikidata.org/entity/Q7605050,Stay Thirsty,,http://www.wikidata.org/entity/Q4893831,2008,,male organism
http://www.wikidata.org/entity/Q7605209,Steady Growth,,,1976,1995,male organism
http://www.wikidata.org/entity/Q7605216,Steady Power,,http://www.wikidata.org/entity/Q7605209,1984,,
http://www.wikidata.org/entity/Q7611081,Steppenwolfer,,,2003,,male organism
http://www.wikidata.org/entity/Q7615624,Stevie Wonderboy,,,2003,,male organism
http://www.wikidata.org/entity/Q7617410,Sting,,http://www.wikidata.org/entity/Q7581536,1921,,male organism
http://www.wikidata.org/entity/Q7618274,Stockwell,http://www.wikidata.org/entity/Q7206262,http://www.wikidata.org/entity/Q7715676,1849,1871,male organism
http://www.wikidata.org/entity/Q7619034,Stone Street,,,1905,,male organism
http://www.wikidata.org/entity/Q7619769,Stop The Music,,http://www.wikidata.org/entity/Q5639203,1970,,male organism
http://www.wikidata.org/entity/Q7620125,Storm Flag Flying,http://www.wikidata.org/entity/Q6945479,http://www.wikidata.org/entity/Q3499832,2000,,female organism
http://www.wikidata.org/entity/Q7620162,Storm Queen,,,1963,,female organism
http://www.wikidata.org/entity/Q7620243,Storming Home,,http://www.wikidata.org/entity/Q6723556,1998,,male organism
http://www.wikidata.org/entity/Q7621002,Straight Deal,,http://www.wikidata.org/entity/Q7557028,1940,,male organism
http://www.wikidata.org/entity/Q7622356,Stravinsky,,http://www.wikidata.org/entity/Q3346473,1996,,male organism
http://www.wikidata.org/entity/Q7622478,Strawberry Road,,,1979,1995,male organism
http://www.wikidata.org/entity/Q7622640,Streakin Six,,,1977,,
http://www.wikidata.org/entity/Q7622656,Stream Lion,,,,,
http://www.wikidata.org/entity/Q7622813,Street Cry,,http://www.wikidata.org/entity/Q6723556,1998,2014,male organism
http://www.wikidata.org/entity/Q7622920,Street Sense,,http://www.wikidata.org/entity/Q7622813,2004,,male organism
http://www.wikidata.org/entity/Q7623790,Strike Out,,,1969,,male organism
http://www.wikidata.org/entity/Q7623801,Strike a Deal,,http://www.wikidata.org/entity/Q6145306,2004,,
http://www.wikidata.org/entity/Q7623813,Strike the Gold,,http://www.wikidata.org/entity/Q4738646,1988,2011,male organism
http://www.wikidata.org/entity/Q76240755,Red Bel Jour,,,2017,,male organism
http://www.wikidata.org/entity/Q76240855,Fierce Impact,,,,,male organism
http://www.wikidata.org/entity/Q76240969,Chimera Verite,,,2017,,male organism
http://www.wikidata.org/entity/Q76241110,Vino Rosso,,http://www.wikidata.org/entity/Q933399,2015,,male organism
http://www.wikidata.org/entity/Q76241245,My Style,,,2014,,male organism
http://www.wikidata.org/entity/Q76241407,Contrail,http://www.wikidata.org/entity/Q96272816,http://www.wikidata.org/entity/Q730381,2017,,male organism
http://www.wikidata.org/entity/Q76241570,Diatonic,,,2015,,male organism
http://www.wikidata.org/entity/Q76241706,Look Twice,,,2013,,male organism
http://www.wikidata.org/entity/Q76241885,Scarlet Color,,,2015,,female organism
http://www.wikidata.org/entity/Q76242037,ムイトオブリガード,,,2014,,male organism
http://www.wikidata.org/entity/Q76242242,Emeral Fight,,,2016,,male organism
http://www.wikidata.org/entity/Q76243140,Rinzo Channel,,,,,male organism
http://www.wikidata.org/entity/Q76243319,Tokio Reality,,,,,female organism
http://www.wikidata.org/entity/Q7627661,Student Council,,http://www.wikidata.org/entity/Q3197083,2002,,male organism
http://www.wikidata.org/entity/Q7628601,Stuka,,,1990,,male organism
http://www.wikidata.org/entity/Q7629649,Stylish Century,,,1986,,male organism
http://www.wikidata.org/entity/Q7629759,Stymie,http://www.wikidata.org/entity/Q61997422,http://www.wikidata.org/entity/Q61997410,1941,1962,male organism
http://www.wikidata.org/entity/Q7630354,Su Mac Lad,,,1954,,male organism
http://www.wikidata.org/entity/Q7631524,Sublimity,,http://www.wikidata.org/entity/Q7448538,2000,,
http://www.wikidata.org/entity/Q7631782,Subordination,,,1994,,male organism
